sim,incl_00,incl_10,incl_20,incl_30,incl_40,incl_50,incl_60,incl_70,incl_80,-vac1-ratio-00,-vac1-ratio-10,-vac1-ratio-20,-vac1-ratio-30,-vac1-ratio-40,-vac1-ratio-50,-vac1-ratio-60,-vac1-ratio-70,-vac1-ratio-80
0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
4,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5,0,0,0,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5
6,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
7,0,0,0,0,0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
8,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
9,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5
10,0,0,0,0,0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0
11,0,0,0,0,0,1,0,1,1,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
12,0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0
13,0,0,0,0,0,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333
14,0,0,0,0,0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
15,0,0,0,0,0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25
16,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
17,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5
18,0,0,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0
19,0,0,0,0,1,0,0,1,1,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333
20,0,0,0,0,1,0,1,0,0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0
21,0,0,0,0,1,0,1,0,1,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333
22,0,0,0,0,1,0,1,1,0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
23,0,0,0,0,1,0,1,1,1,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.25
24,0,0,0,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
25,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333
26,0,0,0,0,1,1,0,1,0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0
27,0,0,0,0,1,1,0,1,1,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.25
28,0,0,0,0,1,1,1,0,0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
29,0,0,0,0,1,1,1,0,1,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.25
30,0,0,0,0,1,1,1,1,0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.0
31,0,0,0,0,1,1,1,1,1,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
32,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
33,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5
34,0,0,0,1,0,0,0,1,0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0
35,0,0,0,1,0,0,0,1,1,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333
36,0,0,0,1,0,0,1,0,0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0
37,0,0,0,1,0,0,1,0,1,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333
38,0,0,0,1,0,0,1,1,0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0
39,0,0,0,1,0,0,1,1,1,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.25,0.25
40,0,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0
41,0,0,0,1,0,1,0,0,1,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333
42,0,0,0,1,0,1,0,1,0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0
43,0,0,0,1,0,1,0,1,1,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.25
44,0,0,0,1,0,1,1,0,0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0
45,0,0,0,1,0,1,1,0,1,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.25
46,0,0,0,1,0,1,1,1,0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.25,0.0
47,0,0,0,1,0,1,1,1,1,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,0.2
48,0,0,0,1,1,0,0,0,0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
49,0,0,0,1,1,0,0,0,1,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
50,0,0,0,1,1,0,0,1,0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0
51,0,0,0,1,1,0,0,1,1,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25
52,0,0,0,1,1,0,1,0,0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0
53,0,0,0,1,1,0,1,0,1,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.25
54,0,0,0,1,1,0,1,1,0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.25,0.0
55,0,0,0,1,1,0,1,1,1,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.2
56,0,0,0,1,1,1,0,0,0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0
57,0,0,0,1,1,1,0,0,1,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.25
58,0,0,0,1,1,1,0,1,0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.25,0.0
59,0,0,0,1,1,1,0,1,1,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.2,0.2
60,0,0,0,1,1,1,1,0,0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.0,0.0
61,0,0,0,1,1,1,1,0,1,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.2
62,0,0,0,1,1,1,1,1,0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.0
63,0,0,0,1,1,1,1,1,1,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
64,0,0,1,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
